ID	SpeakerID	Text	NextID	Choices
100	oldman_1	"안녕. 만나서.반갑읍니다."	101	-
101	oldman_1	"나는..여기.동네에서 가장 나이가 많은. 노인입니다.."	102	-
102	player	"(말이 엄청 느리시네)"	103	-
103	oldman_1	"나는..이.동네에서 가장 나이가 많은. 노인이여.."	104	-
104	player	"방금 말씀하셨어요."	105	-
105	oldman_1	"이?.. 뭐,라고?"	106	-
106	player	"어.. 아닙니다. 가볼게요 어르신."	-1	-
200	girl_1	"안녕하세요."	201	-
201	player	"안녕하세요."	202	-
202	girl_1	"좋은 기운이 느껴지세요. 저랑 이야기 좀 안 하실래요?"	-1	네:203|아니오:207
203	player	"뭔가요?"	204	-
204	girl_1	"우리 주님께서 주신 은총을 나눠드리려고 하는데요..."	205	-
205	player	"아니 괜찮습니다."	206	-
206	girl_1	"어, 가지 마세요!"	-1	-
207	player	"헉. 아니요."	-1	-
9000	mob_npc	"절 아세요?"	-1	그냥 말 걸어본 겁니다.:9001|사람 잘못 봤네요. 죄송합니다.:-1
9001	player	"그냥 말 걸어본 겁니다."	9002	-
9002	mob_np	"아.. 저는 바빠서 이만"	9003	-
9003	player	"네"	-1	-
